municipio,uf,pib_total_mil,populacao,pib_per_capita
Angra dos Reis,RJ,11900498,,
Aperibé,RJ,301129,,
Araruama,RJ,13156181,,
Areal,RJ,597072,,
Armação dos Búzios,RJ,5019621,,
Arraial do Cabo,RJ,9335374,,
Barra do Piraí,RJ,3225723,,
Barra Mansa,RJ,6831115,,
Belford Roxo,RJ,9686339,,
Bom Jardim,RJ,1018920,,
Bom Jesus do Itabapoana,RJ,1207611,,
Cabo Frio,RJ,16964472,,
Cachoeiras de Macacu,RJ,1702402,,
Cambuci,RJ,479568,,
Carapebus,RJ,1045633,,
Comendador Levy Gasparian,RJ,633562,,
Campos dos Goytacazes,RJ,42953469,,
Cantagalo,RJ,1075296,,
Cardoso Moreira,RJ,393125,,
Carmo,RJ,671866,,
Casimiro de Abreu,RJ,3363239,,
Conceição de Macabu,RJ,504000,,
Cordeiro,RJ,530533,,
Duas Barras,RJ,285448,,
Duque de Caxias,RJ,70068007,,
Engenheiro Paulo de Frontin,RJ,320438,,
Guapimirim,RJ,1589983,,
Iguaba Grande,RJ,814661,,
Itaboraí,RJ,6278393,,
Itaguaí,RJ,11383962,,
Italva,RJ,431493,,
Itaocara,RJ,756489,,
Itaperuna,RJ,4067637,,
Itatiaia,RJ,6988685,,
Japeri,RJ,1874798,,
Laje do Muriaé,RJ,208603,,
Macaé,RJ,22394860,,
Macuco,RJ,282626,,
Magé,RJ,5301411,,
Mangaratiba,RJ,3443660,,
Maricá,RJ,134092034,,
Mendes,RJ,444764,,
Mesquita,RJ,3029007,,
Miguel Pereira,RJ,847198,,
Miracema,RJ,742077,,
Natividade,RJ,408436,,
Nilópolis,RJ,3339769,,
Niterói,RJ,76268005,,
Nova Friburgo,RJ,7367567,,
Nova Iguaçu,RJ,20518624,,
Paracambi,RJ,1085489,,
Paraíba do Sul,RJ,1399157,,
Paraty,RJ,6324392,,
Paty do Alferes,RJ,862740,,
Petrópolis,RJ,19907335,,
Pinheiral,RJ,1187697,,
Piraí,RJ,3388747,,
Porciúncula,RJ,559253,,
Porto Real,RJ,3205582,,
Quatis,RJ,400781,,
Queimados,RJ,4938812,,
Quissamã,RJ,5669644,,
Resende,RJ,12267696,,
Rio Bonito,RJ,2038466,,
Rio Claro,RJ,577431,,
Rio das Flores,RJ,338695,,
Rio das Ostras,RJ,10599898,,
Rio de Janeiro,RJ,418462360,,
Santa Maria Madalena,RJ,275098,,
Santo Antônio de Pádua,RJ,1686337,,
São Francisco de Itabapoana,RJ,1481367,,
São Fidélis,RJ,985938,,
São Gonçalo,RJ,23063689,,
São João da Barra,RJ,13986152,,
São João de Meriti,RJ,11534047,,
São José de Ubá,RJ,232730,,
São José do Vale do Rio Preto,RJ,941645,,
São Pedro da Aldeia,RJ,3359011,,
São Sebastião do Alto,RJ,272845,,
Sapucaia,RJ,1227721,,
Saquarema,RJ,64701140,,
Seropédica,RJ,3760076,,
Silva Jardim,RJ,705912,,
Sumidouro,RJ,733841,,
Tanguá,RJ,858815,,
Teresópolis,RJ,7104546,,
Trajano de Moraes,RJ,290439,,
Três Rios,RJ,6017636,,
Valença,RJ,3104489,,
Varre-Sai,RJ,407915,,
Vassouras,RJ,1472880,,
Volta Redonda,RJ,15307615,,
Adamantina,SP,1705895,,
Adolfo,SP,215283,,
Aguaí,SP,1773843,,
Águas da Prata,SP,272359,,
Águas de Lindóia,SP,801115,,
Águas de Santa Bárbara,SP,375562,,
Águas de São Pedro,SP,185390,,
Agudos,SP,3415809,,
Alambari,SP,160252,,
Alfredo Marcondes,SP,158137,,
Altair,SP,210529,,
Altinópolis,SP,946538,,
Alto Alegre,SP,172396,,
Alumínio,SP,3438994,,
Álvares Florence,SP,175598,,
Álvares Machado,SP,859771,,
Álvaro de Carvalho,SP,69377,,
Alvinlândia,SP,82613,,
